User ID,Gender,Age,EstimatedSalary,Purchased
15727696,Male,30,135000,1
15583681,Male,32,120000,1
15651983,Male,34,112000,1
15582492,Male,28,123000,1
15687491,Male,30,107000,1
15744279,Male,32,100000,1
15789815,Male,29,148000,1
15663161,Male,35,91000,1
15694879,Male,37,144000,1
15680587,Male,36,144000,1
15589449,Male,39,106000,1
15750447,Male,37,70000,1
15586757,Male,39,134000,1
15637593,Male,37,79000,1
15596761,Male,36,125000,1
15622585,Male,39,96000,1
15796351,Male,36,118000,1
15665760,Male,39,122000,1
15699619,Male,36,99000,1
